respondent_id,age_band,response
R0044,40-64,"Put it this way, the manufacturers have lied before and got away with it."
R0045,40-64,My nurse recommended it twice!
R0046,18-39,"If I am honest, the staff were perfectly polite."
R0047,65+,"Put it this way, my doctor explained it and I was happy."
R0048,40-64,I just do not think it is necessary!
R0049,18-39,"If I am honest, nobody would explain anything to me properly, that is about the size of it."
R0050,18-39,My shifts never line up with their opening hours!
R0051,18-39,"Put it this way, I would have had to pay for parking twice over, hard to explain any better than that."
R0052,18-39,There is no bus out here and I do not drive.
R0053,65+,"Look, the booking line was engaged every time I rang, make of that what you will."
R0054,18-39,"My doctor explained it and I was happy, it is complicated!"
R0055,40-64,"To be fair, childcare makes a weekday appointment impossible!"
R0056,40-64,"Just have not got round to it yet, hard to explain any better than that."
R0057,18-39,"Well, I leave these things in God's hands, the clinic closes at five and I work two jobs, nothing else to add really!"
R0058,40-64,"Honestly, the manufacturers have lied before and got away with it, make of that what you will!"
R0059,18-39,"Could not get the time off work for it, no one told me I was even eligible, make of that what you will!"
R0060,65+,The manufacturers have lied before and got away with it.
R0061,40-64,Could not get the time off work for it.
R0062,40-64,"My nurse recommended it twice, hard to explain any better than that."
R0063,65+,Childcare makes a weekday appointment impossible.
R0064,40-64,"If I am honest, could not get the time off work for it, make of that what you will."
R0065,18-39,"I keep meaning to book it and forgetting, hard to explain any better than that!"
R0066,40-64,"Look, the staff were perfectly polite."
R0067,65+,"I just do not think it is necessary, nothing else to add really!"
R0068,18-39,"Truthfully, no religious reason, I simply forgot."
R0069,18-39,"To be fair, the drug companies only care about profit, the nearest centre is forty miles away."
R0070,40-64,"Honestly, the clinic closes at five and I work two jobs."
R0071,65+,"The staff were perfectly polite, anyway, that is my reason."
R0072,65+,"Put it this way, my nurse recommended it twice, make of that what you will."
R0073,65+,My doctor explained it and I was happy.
R0074,65+,"My nurse recommended it twice, nothing else to add really."
R0075,40-64,"Honestly, was made to feel stupid for asking a question!"
R0076,65+,"My doctor explained it and I was happy, that is about the size of it."
R0077,18-39,"To be fair, I decided against it deliberately."
R0078,65+,"If I am honest, it is on my list, honestly it is!"
R0079,40-64,"Look, I heard nothing from anybody about it, my church teaches against it."
R0080,40-64,"Honestly, I just do not think it is necessary, that is about the size of it."
R0081,40-64,"To be fair, it is on my list, honestly it is, the clinic closes at five and I work two jobs."
R0082,40-64,"If I am honest, I would have had to pay for parking twice over!"
R0083,65+,"They rushed it out to make money, just have not got round to it yet."
R0084,65+,"Put it this way, childcare makes a weekday appointment impossible, hard to explain any better than that."
R0085,65+,"If I am honest, nobody would explain anything to me properly!"
R0086,65+,No one told me I was even eligible!
R0087,40-64,"Look, nobody would explain anything to me properly."
R0088,40-64,"No religious reason, I simply forgot, it is complicated."
R0089,18-39,"Honestly, the receptionist was dismissive and rude."
R0090,18-39,"The manufacturers have lied before and got away with it, I will do it next month, probably!"
R0091,18-39,"Look, there is no bus out here and I do not drive, it is complicated."
R0092,18-39,"It is on my list, honestly it is, there is no bus out here and I do not drive, it is complicated."
R0093,18-39,"My nurse recommended it twice, it is complicated."
R0094,65+,"Honestly, could not get the time off work for it, hard to explain any better than that."
R0095,18-39,"Put it this way, I decided against it deliberately, it is complicated!"
R0096,18-39,"Just have not got round to it yet, the nearest centre is forty miles away."
R0097,40-64,"To be fair, they talked over me like I was not there!"
R0098,65+,"I would have had to pay for parking twice over, I do not trust big pharma, full stop, it is complicated."
R0099,65+,"Honestly, kept putting it off for no good reason."
R0100,18-39,"The nearest centre is forty miles away, kept putting it off for no good reason, no one told me I was even eligible."
R0101,65+,"Nobody would explain anything to me properly, nothing else to add really."
R0102,18-39,"Truthfully, the manufacturers have lied before and got away with it, that is about the size of it."
R0103,40-64,I felt patronised for the whole visit.
R0104,18-39,I decided against it deliberately.
R0105,18-39,"Honestly, nobody ever suggested I should have it!"
R0106,18-39,"Well, I keep meaning to book it and forgetting, make of that what you will."
R0107,65+,"The manufacturers have lied before and got away with it, could not get the time off work for it."
R0108,18-39,"Put it this way, my nurse recommended it twice!"
R0109,18-39,"Honestly, kept putting it off for no good reason, nobody would explain anything to me properly."
R0110,18-39,"The staff were perfectly polite, hard to explain any better than that!"
R0111,65+,"Nobody would explain anything to me properly, it is complicated."
R0112,18-39,The staff were perfectly polite.
R0113,40-64,The clinic closes at five and I work two jobs!
R0114,18-39,"Could not get the time off work for it, there is too much money in it for me to believe them, kept putting it off for no good reason, nobody would explain anything to me properly, hard to explain any better than that."
R0115,18-39,"I will do it next month, probably, anyway, that is my reason."
R0116,40-64,"No religious reason, I simply forgot!"
R0117,40-64,"I just do not think it is necessary, it is complicated!"
R0118,40-64,"Look, nobody ever suggested I should have it, the nearest centre is forty miles away, make of that what you will."
R0119,65+,"If I am honest, no religious reason, I simply forgot!"
R0120,18-39,"My shifts never line up with their opening hours, I keep meaning to book it and forgetting, nothing else to add really."
R0121,18-39,"Follow the money and you have your answer, it is complicated."
R0122,18-39,"Put it this way, nobody would explain anything to me properly."
R0123,65+,"To be fair, I just do not think it is necessary, anyway, that is my reason."
R0124,18-39,"Look, I just do not think it is necessary!"
R0125,65+,"Honestly, the booking line was engaged every time I rang!"
R0126,65+,"Well, I do not trust big pharma, full stop, make of that what you will."
R0127,40-64,"Well, they talked over me like I was not there, nobody ever suggested I should have it, nothing else to add really."
R0128,65+,"Truthfully, I heard nothing from anybody about it!"
R0129,65+,"Truthfully, the booking line was engaged every time I rang."
R0130,18-39,My GP never brought it up.
R0131,65+,"Honestly, the staff were perfectly polite!"
R0132,65+,Nobody ever suggested I should have it!
R0133,65+,"Honestly, no religious reason, I simply forgot, anyway, that is my reason!"
R0134,65+,"To be fair, my nurse recommended it twice!"
R0135,65+,"I will do it next month, probably."
R0136,18-39,"I felt patronised for the whole visit, anyway, that is my reason."
R0137,40-64,My nurse recommended it twice.
R0138,18-39,"I will do it next month, probably, the booking line was engaged every time I rang, it is complicated."
R0139,65+,"Truthfully, I just do not think it is necessary!"
R0140,65+,"Put it this way, I just do not think it is necessary!"
R0141,18-39,"I just do not think it is necessary, hard to explain any better than that."
R0142,18-39,"Look, the staff were perfectly polite!"
R0143,40-64,"To be fair, I just do not think it is necessary."
R0144,18-39,"Look, kept putting it off for no good reason."
R0145,18-39,My church teaches against it.
R0146,18-39,"Truthfully, the nearest centre is forty miles away, I heard nothing from anybody about it!"
R0147,65+,"Well, I just do not think it is necessary."
R0148,65+,"Well, I would have had to pay for parking twice over, nothing else to add really."
R0149,40-64,"There is too much money in it for me to believe them, childcare makes a weekday appointment impossible!"
R0150,40-64,The drug companies only care about profit.
R0151,18-39,"Look, I decided against it deliberately, it is complicated."
R0152,65+,"Honestly, I decided against it deliberately, anyway, that is my reason!"
R0153,40-64,"Put it this way, they talked over me like I was not there."
R0154,40-64,"Truthfully, I decided against it deliberately, nothing else to add really!"
R0155,40-64,"Well, follow the money and you have your answer!"
R0156,65+,"Truthfully, my doctor explained it and I was happy."
R0157,65+,"Well, no religious reason, I simply forgot, anyway, that is my reason!"
R0158,65+,"My doctor explained it and I was happy, it is complicated."
R0159,65+,"My GP never brought it up, follow the money and you have your answer."
R0160,18-39,Was made to feel stupid for asking a question.
R0161,18-39,"Honestly, I just do not think it is necessary, make of that what you will!"
R0162,65+,"There is no bus out here and I do not drive, I felt patronised for the whole visit, no one told me I was even eligible, it is complicated."
R0163,40-64,"If I am honest, follow the money and you have your answer, not one person in the surgery mentioned it!"
R0164,18-39,"If I am honest, my nurse recommended it twice, nothing else to add really!"
R0165,40-64,"To be fair, I will do it next month, probably!"
R0166,18-39,"If I am honest, the drug companies only care about profit, my church teaches against it, that is about the size of it!"
R0167,65+,"Look, it goes against my faith."
R0168,40-64,"If I am honest, I decided against it deliberately."
R0169,65+,"Well, the drug companies only care about profit."
R0170,65+,"Childcare makes a weekday appointment impossible, make of that what you will."
R0171,40-64,"Could not get the time off work for it, nothing else to add really!"
R0172,65+,"Look, could not get the time off work for it!"
R0173,40-64,"Put it this way, childcare makes a weekday appointment impossible, hard to explain any better than that!"
R0174,18-39,"My GP never brought it up, that is about the size of it."
R0175,65+,"They rushed it out to make money, I will do it next month, probably, nothing else to add really."
R0176,18-39,"Honestly, I heard nothing from anybody about it, it is complicated!"
R0177,18-39,"The drug companies only care about profit, it is on my list, honestly it is."
R0178,18-39,"Was made to feel stupid for asking a question, kept putting it off for no good reason."
R0179,65+,Kept putting it off for no good reason.
R0180,65+,My GP never brought it up!
R0181,65+,"Well, just have not got round to it yet."
R0182,40-64,"The nearest centre is forty miles away, it is complicated."
R0183,18-39,"Truthfully, nobody would explain anything to me properly."
R0184,40-64,"Well, my doctor explained it and I was happy, it is complicated."
R0185,40-64,"Well, they talked over me like I was not there."
R0186,40-64,"My GP never brought it up, nothing else to add really."
R0187,65+,"I decided against it deliberately, anyway, that is my reason!"
R0188,65+,"Put it this way, nobody ever suggested I should have it, hard to explain any better than that!"
R0189,18-39,"Look, my doctor explained it and I was happy, hard to explain any better than that!"
R0190,18-39,"Put it this way, could not get the time off work for it, that is about the size of it!"
R0191,18-39,"Truthfully, I felt patronised for the whole visit, hard to explain any better than that."
R0192,65+,"The nearest centre is forty miles away, that is about the size of it!"
R0193,65+,"Put it this way, nobody ever suggested I should have it, the drug companies only care about profit!"
R0194,65+,"Kept putting it off for no good reason, that is about the size of it!"
R0195,65+,"Well, I keep meaning to book it and forgetting!"
R0196,18-39,"If I am honest, I just do not think it is necessary, anyway, that is my reason."
R0197,18-39,"Look, just have not got round to it yet, it is complicated."
R0198,65+,"Well, the nearest centre is forty miles away, nobody would explain anything to me properly."
R0199,18-39,My doctor explained it and I was happy!
R0200,40-64,"If I am honest, there is too much money in it for me to believe them, anyway, that is my reason."
R0201,18-39,"Honestly, my doctor explained it and I was happy, it is complicated."
R0202,65+,"Honestly, no religious reason, I simply forgot, hard to explain any better than that!"
R0203,18-39,"If I am honest, it goes against my faith."
R0204,40-64,"Well, I do not trust big pharma, full stop, there is no bus out here and I do not drive!"
R0205,65+,"Look, I just do not think it is necessary, make of that what you will."
R0206,18-39,"Put it this way, the receptionist was dismissive and rude, make of that what you will."
R0207,40-64,"Not one person in the surgery mentioned it, hard to explain any better than that!"
R0208,40-64,"Look, there is too much money in it for me to believe them."
R0209,65+,"The receptionist was dismissive and rude, that is about the size of it!"
R0210,40-64,"Was made to feel stupid for asking a question, I will do it next month, probably."
R0211,40-64,"To be fair, I felt patronised for the whole visit, it is complicated!"
R0212,40-64,"Look, the manufacturers have lied before and got away with it, I keep meaning to book it and forgetting, nobody would explain anything to me properly, that is about the size of it!"
R0213,65+,"To be fair, I just do not think it is necessary, hard to explain any better than that!"
R0214,40-64,"Well, my nurse recommended it twice."
R0215,18-39,"Look, I keep meaning to book it and forgetting."
R0216,65+,The staff were perfectly polite!
R0217,40-64,"Put it this way, not one person in the surgery mentioned it, nothing else to add really."
R0218,40-64,"Nobody ever suggested I should have it, nothing else to add really!"
R0219,40-64,"If I am honest, not one person in the surgery mentioned it."
R0220,40-64,"I just do not think it is necessary, make of that what you will."
R0221,40-64,"My nurse recommended it twice, make of that what you will!"
R0222,40-64,"If I am honest, there is no bus out here and I do not drive, kept putting it off for no good reason, that is about the size of it."
R0223,40-64,"Look, I decided against it deliberately, it is complicated!"
R0224,65+,"There is no bus out here and I do not drive, hard to explain any better than that."
R0225,18-39,"Could not get the time off work for it, it is complicated."
R0226,18-39,"Well, I decided against it deliberately, anyway, that is my reason."
R0227,40-64,"The receptionist was dismissive and rude, hard to explain any better than that."
R0228,40-64,"Truthfully, I just do not think it is necessary, anyway, that is my reason!"
R0229,40-64,"Truthfully, my nurse recommended it twice, that is about the size of it!"
R0230,18-39,"Honestly, my doctor explained it and I was happy, anyway, that is my reason."
R0231,40-64,"Honestly, I decided against it deliberately, make of that what you will!"
R0232,40-64,"Nobody would explain anything to me properly, it is on my list, honestly it is."
R0233,18-39,"Put it this way, no religious reason, I simply forgot, it is complicated."
R0234,65+,"Put it this way, I would have had to pay for parking twice over, make of that what you will."
R0235,40-64,"To be fair, I do not trust big pharma, full stop."
R0236,40-64,It goes against my faith!
R0237,18-39,"Well, my GP never brought it up, nothing else to add really."
R0238,40-64,"I heard nothing from anybody about it, was made to feel stupid for asking a question."
R0239,65+,"If I am honest, I decided against it deliberately!"
R0240,18-39,"My nurse recommended it twice, make of that what you will."
R0241,40-64,"Look, the booking line was engaged every time I rang, nothing else to add really."
R0242,65+,"Honestly, the drug companies only care about profit, my GP never brought it up."
R0243,18-39,"Honestly, I keep meaning to book it and forgetting."
R0244,18-39,"Truthfully, I keep meaning to book it and forgetting, the drug companies only care about profit, that is about the size of it."
R0245,40-64,"Look, no religious reason, I simply forgot, that is about the size of it."
R0246,65+,"My GP never brought it up, the nearest centre is forty miles away, hard to explain any better than that!"
R0247,18-39,"To be fair, the drug companies only care about profit."
R0248,65+,"Honestly, I decided against it deliberately, hard to explain any better than that."
R0249,18-39,"Well, the staff were perfectly polite."
R0250,65+,"To be fair, I leave these things in God's hands, hard to explain any better than that."
R0251,18-39,The manufacturers have lied before and got away with it!
R0252,18-39,"If I am honest, could not get the time off work for it, I do not trust big pharma, full stop, I felt patronised for the whole visit, nothing else to add really!"
R0253,40-64,"To be fair, my shifts never line up with their opening hours, nothing else to add really!"
R0254,40-64,"Look, the staff were perfectly polite, hard to explain any better than that."
R0255,40-64,"Look, my nurse recommended it twice!"
R0256,18-39,"Look, there is no bus out here and I do not drive, it is on my list, honestly it is."
R0257,18-39,"Well, there is too much money in it for me to believe them!"
R0258,18-39,"Honestly, my doctor explained it and I was happy, nothing else to add really."
R0259,18-39,"If I am honest, I decided against it deliberately, it is complicated."
R0260,18-39,"To be fair, my nurse recommended it twice."
R0261,18-39,"Honestly, the clinic closes at five and I work two jobs, nothing else to add really."
R0262,18-39,"I will do it next month, probably, hard to explain any better than that."
R0263,65+,"Look, could not get the time off work for it, nothing else to add really."
R0264,40-64,"If I am honest, the staff were perfectly polite!"
R0265,40-64,"Truthfully, it is on my list, honestly it is."
R0266,40-64,"Honestly, no religious reason, I simply forgot."
R0267,65+,"Honestly, not one person in the surgery mentioned it, make of that what you will!"
R0268,65+,"The booking line was engaged every time I rang, hard to explain any better than that."
R0269,18-39,"To be fair, my doctor explained it and I was happy."
R0270,40-64,Not one person in the surgery mentioned it.
R0271,40-64,"I decided against it deliberately, hard to explain any better than that."
R0272,18-39,"Follow the money and you have your answer, nobody ever suggested I should have it, my shifts never line up with their opening hours, I keep meaning to book it and forgetting."
R0273,65+,There is no bus out here and I do not drive!
R0274,65+,"Put it this way, the booking line was engaged every time I rang, the receptionist was dismissive and rude!"
R0275,65+,"There is too much money in it for me to believe them, the receptionist was dismissive and rude, nothing else to add really."
R0276,40-64,"My shifts never line up with their opening hours, I do not trust big pharma, full stop."
R0277,40-64,"Well, my nurse recommended it twice, make of that what you will."
R0278,40-64,"Truthfully, follow the money and you have your answer!"
R0279,18-39,"I will do it next month, probably, the nearest centre is forty miles away."
R0280,65+,"Honestly, my church teaches against it, nothing else to add really."
R0281,40-64,"If I am honest, they talked over me like I was not there, hard to explain any better than that."
R0282,40-64,"I will do it next month, probably, hard to explain any better than that!"
R0283,18-39,"Well, could not get the time off work for it, it is complicated."
R0284,40-64,Follow the money and you have your answer!
R0285,18-39,Kept putting it off for no good reason!
R0286,65+,My shifts never line up with their opening hours.
R0287,65+,"Put it this way, the staff were perfectly polite, hard to explain any better than that."
R0288,40-64,"Well, the clinic closes at five and I work two jobs, I will do it next month, probably."
R0289,40-64,"Truthfully, the nearest centre is forty miles away!"
R0290,40-64,"My shifts never line up with their opening hours, the drug companies only care about profit."
R0291,65+,"Truthfully, it goes against my faith."
R0292,40-64,"I keep meaning to book it and forgetting, the drug companies only care about profit, it is complicated!"
R0293,18-39,"Honestly, I felt patronised for the whole visit, could not get the time off work for it!"
R0294,18-39,"Well, I would have had to pay for parking twice over, it is complicated."
R0295,18-39,"To be fair, the booking line was engaged every time I rang, nothing else to add really."
R0296,40-64,"If I am honest, there is no bus out here and I do not drive, it is complicated."
R0297,40-64,"Nobody would explain anything to me properly, I will do it next month, probably."
R0298,40-64,"To be fair, no religious reason, I simply forgot."
R0299,18-39,"To be fair, I heard nothing from anybody about it."
R0300,40-64,"Well, my doctor explained it and I was happy."
R0301,40-64,"Truthfully, I keep meaning to book it and forgetting, make of that what you will."
R0302,40-64,"To be fair, childcare makes a weekday appointment impossible."
R0303,18-39,"To be fair, my shifts never line up with their opening hours, I do not trust big pharma, full stop, anyway, that is my reason!"
R0304,18-39,"Well, I decided against it deliberately, make of that what you will!"
R0305,40-64,"I decided against it deliberately, make of that what you will."
R0306,65+,"Truthfully, it is on my list, honestly it is, anyway, that is my reason."
R0307,18-39,"Honestly, my doctor explained it and I was happy."
R0308,18-39,"I will do it next month, probably, make of that what you will."
R0309,65+,"Honestly, I just do not think it is necessary, anyway, that is my reason."
R0310,18-39,"I decided against it deliberately, nothing else to add really!"
R0311,18-39,"If I am honest, the staff were perfectly polite, that is about the size of it!"
R0312,65+,"The staff were perfectly polite, it is complicated!"
R0313,65+,"To be fair, not one person in the surgery mentioned it, nothing else to add really!"
R0314,65+,"I felt patronised for the whole visit, that is about the size of it."
R0315,65+,"Well, I keep meaning to book it and forgetting, that is about the size of it."
R0316,40-64,"Follow the money and you have your answer, I heard nothing from anybody about it."
R0317,18-39,"To be fair, the nearest centre is forty miles away, anyway, that is my reason!"
R0318,40-64,"Truthfully, the drug companies only care about profit!"
R0319,40-64,"Not one person in the surgery mentioned it, my shifts never line up with their opening hours, make of that what you will!"
R0320,65+,"Honestly, my church teaches against it, kept putting it off for no good reason."
R0321,40-64,"It is on my list, honestly it is."
R0322,18-39,"I do not trust big pharma, full stop, make of that what you will!"
R0323,65+,The receptionist was dismissive and rude.
R0324,65+,"If I am honest, my GP never brought it up, they rushed it out to make money, hard to explain any better than that."
R0325,65+,"Well, my doctor explained it and I was happy, that is about the size of it!"
R0326,40-64,"Truthfully, I would have had to pay for parking twice over, that is about the size of it."
R0327,65+,"Nobody ever suggested I should have it, I keep meaning to book it and forgetting, the receptionist was dismissive and rude, my shifts never line up with their opening hours, that is about the size of it."
R0328,18-39,"Put it this way, the clinic closes at five and I work two jobs, it is on my list, honestly it is."
R0329,18-39,"The receptionist was dismissive and rude, nothing else to add really!"
R0330,65+,"Follow the money and you have your answer, kept putting it off for no good reason, the nearest centre is forty miles away, hard to explain any better than that!"
R0331,40-64,"Look, there is no bus out here and I do not drive."
R0332,40-64,"Truthfully, there is too much money in it for me to believe them, not one person in the surgery mentioned it, nothing else to add really!"
R0333,18-39,"Truthfully, the drug companies only care about profit, kept putting it off for no good reason, nothing else to add really."
R0334,18-39,"To be fair, the booking line was engaged every time I rang."
R0335,65+,The clinic closes at five and I work two jobs.
R0336,18-39,"Look, the booking line was engaged every time I rang."
R0337,40-64,"Look, no one told me I was even eligible."
R0338,40-64,"If I am honest, my doctor explained it and I was happy, hard to explain any better than that."
R0339,65+,"To be fair, I would have had to pay for parking twice over, it is complicated!"
R0340,18-39,They talked over me like I was not there!
R0341,40-64,"It is on my list, honestly it is, that is about the size of it."
R0342,40-64,"Look, it is on my list, honestly it is, it goes against my faith, that is about the size of it."
R0343,18-39,"Truthfully, just have not got round to it yet, follow the money and you have your answer!"
R0344,18-39,"Honestly, I will do it next month, probably, the nearest centre is forty miles away, that is about the size of it!"
R0345,18-39,"Truthfully, childcare makes a weekday appointment impossible, I will do it next month, probably."
R0346,18-39,"Honestly, the receptionist was dismissive and rude, I will do it next month, probably."
R0347,18-39,"Truthfully, I decided against it deliberately, anyway, that is my reason."
R0348,18-39,"I just do not think it is necessary, nothing else to add really."
R0349,65+,They rushed it out to make money.
R0350,40-64,"Put it this way, I just do not think it is necessary."
R0351,40-64,"Well, I decided against it deliberately!"
R0352,65+,"Look, I heard nothing from anybody about it, it is complicated."
R0353,18-39,"Well, I will do it next month, probably, nothing else to add really."
R0354,65+,"Look, I decided against it deliberately, make of that what you will."
R0355,40-64,"I will do it next month, probably, they rushed it out to make money."
R0356,40-64,"Well, no religious reason, I simply forgot."
R0357,65+,"Well, I do not trust big pharma, full stop, hard to explain any better than that."
R0358,18-39,"If I am honest, childcare makes a weekday appointment impossible!"
R0359,40-64,"Truthfully, could not get the time off work for it!"
R0360,65+,"If I am honest, the drug companies only care about profit, the nearest centre is forty miles away, that is about the size of it."
R0361,18-39,"Put it this way, I will do it next month, probably, anyway, that is my reason."
R0362,40-64,"If I am honest, my nurse recommended it twice."
R0363,40-64,"Honestly, I just do not think it is necessary!"
R0364,65+,"I heard nothing from anybody about it, it is complicated!"
R0365,40-64,The booking line was engaged every time I rang.
R0366,18-39,"I would have had to pay for parking twice over, follow the money and you have your answer, anyway, that is my reason."
R0367,65+,"I keep meaning to book it and forgetting, nobody ever suggested I should have it, hard to explain any better than that."
R0368,40-64,"To be fair, the clinic closes at five and I work two jobs, they talked over me like I was not there, nobody ever suggested I should have it, nothing else to add really."
R0369,65+,"If I am honest, the staff were perfectly polite, hard to explain any better than that."
R0370,40-64,"My doctor explained it and I was happy, hard to explain any better than that."
R0371,40-64,"Well, I heard nothing from anybody about it."
R0372,65+,Just have not got round to it yet!
R0373,40-64,"Put it this way, no religious reason, I simply forgot."
R0374,18-39,"Truthfully, there is no bus out here and I do not drive, just have not got round to it yet, it is complicated."
R0375,40-64,"Truthfully, no one told me I was even eligible."
R0376,65+,"I will do it next month, probably, no one told me I was even eligible!"
R0377,65+,"Look, I heard nothing from anybody about it, the drug companies only care about profit, that is about the size of it."
R0378,40-64,"Look, was made to feel stupid for asking a question!"
R0379,40-64,"The staff were perfectly polite, anyway, that is my reason!"
R0380,40-64,"Put it this way, my nurse recommended it twice."
R0381,18-39,"I keep meaning to book it and forgetting, it is complicated!"
R0382,65+,"Truthfully, they talked over me like I was not there, my shifts never line up with their opening hours!"
R0383,40-64,"Honestly, the drug companies only care about profit."
R0384,65+,"Well, no religious reason, I simply forgot!"
R0385,65+,"My doctor explained it and I was happy, anyway, that is my reason."
R0386,40-64,"I keep meaning to book it and forgetting, anyway, that is my reason!"
R0387,65+,"Truthfully, no religious reason, I simply forgot, it is complicated!"
R0388,40-64,"Kept putting it off for no good reason, no one told me I was even eligible."
R0389,40-64,"Just have not got round to it yet, was made to feel stupid for asking a question, nothing else to add really."
R0390,65+,"Look, no religious reason, I simply forgot, hard to explain any better than that!"
R0391,65+,"Well, my shifts never line up with their opening hours, I will do it next month, probably!"
R0392,65+,"Truthfully, I would have had to pay for parking twice over."
R0393,65+,"To be fair, there is too much money in it for me to believe them, no one told me I was even eligible!"
R0394,18-39,"To be fair, my doctor explained it and I was happy, it is complicated!"
R0395,65+,"It is on my list, honestly it is, the nearest centre is forty miles away."
R0396,18-39,"To be fair, I just do not think it is necessary, nothing else to add really."
R0397,40-64,"The drug companies only care about profit, it is complicated."
R0398,65+,Just have not got round to it yet.
R0399,18-39,"Look, it is on my list, honestly it is, hard to explain any better than that!"
R0400,40-64,"My shifts never line up with their opening hours, it is complicated."
R0401,18-39,"No one told me I was even eligible, make of that what you will."
R0402,40-64,"Honestly, it is on my list, honestly it is, that is about the size of it!"
R0403,65+,"They rushed it out to make money, anyway, that is my reason."
R0404,40-64,"The receptionist was dismissive and rude, it is complicated!"
R0405,65+,"Could not get the time off work for it, I do not trust big pharma, full stop, that is about the size of it."
R0406,65+,"To be fair, the clinic closes at five and I work two jobs, that is about the size of it!"
R0407,18-39,"Look, I decided against it deliberately."
R0408,65+,"Honestly, I just do not think it is necessary."
R0409,65+,"Put it this way, the staff were perfectly polite, make of that what you will!"
R0410,65+,There is too much money in it for me to believe them.
R0411,65+,"My GP never brought it up, they rushed it out to make money, anyway, that is my reason."
R0412,40-64,"Look, my doctor explained it and I was happy, make of that what you will!"
R0413,65+,"To be fair, not one person in the surgery mentioned it."
R0414,40-64,"Well, the booking line was engaged every time I rang."
R0415,40-64,"Well, my nurse recommended it twice, it is complicated."
R0416,18-39,"To be fair, I heard nothing from anybody about it, make of that what you will."
R0417,65+,"If I am honest, my doctor explained it and I was happy, that is about the size of it."
R0418,40-64,"No religious reason, I simply forgot, anyway, that is my reason."
R0419,40-64,"To be fair, just have not got round to it yet."
R0420,65+,"Honestly, the clinic closes at five and I work two jobs!"
R0421,40-64,I keep meaning to book it and forgetting.
R0422,65+,"I will do it next month, probably, nothing else to add really."
R0423,40-64,"Well, I heard nothing from anybody about it, that is about the size of it."
R0424,18-39,Was made to feel stupid for asking a question!
R0425,65+,"Well, just have not got round to it yet, I do not trust big pharma, full stop, was made to feel stupid for asking a question, my GP never brought it up, make of that what you will!"
R0426,40-64,"Look, my nurse recommended it twice."
R0427,65+,"If I am honest, it is on my list, honestly it is, they rushed it out to make money, it is complicated."
R0428,18-39,"There is no bus out here and I do not drive, that is about the size of it!"
R0429,18-39,"If I am honest, no religious reason, I simply forgot, anyway, that is my reason."
R0430,65+,"To be fair, I keep meaning to book it and forgetting, the manufacturers have lied before and got away with it, the nearest centre is forty miles away."
R0431,65+,"Well, they rushed it out to make money."
R0432,40-64,"Truthfully, no religious reason, I simply forgot, that is about the size of it!"
